region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,8.425,3259,4.277,0.2700,2,+0.981,-0.486,0.1711,0.1400,0.8154,0.3476,0.1239,0.1081,1.2179,0.9284,49.63,1.0952,48.53,45.45,66.75,73.00,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7224,224.5,True,0
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,8.419,3259,4.521,0.2700,2,+0.973,-0.400,0.1031,0.1223,0.5589,0.1821,0.0763,0.0988,0.7582,0.5968,43.68,1.0331,42.65,39.30,67.50,73.13,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7225,212.4,True,0
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,8.424,3259,4.306,0.2700,2,+0.980,-0.476,0.1359,0.1366,0.7782,0.3712,0.0904,0.1103,1.0195,0.8060,49.14,1.0869,48.05,47.69,55.70,72.90,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7226,223.0,True,0
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,3.466,4648,6.593,0.2620,9,-0.837,-0.089,0.2810,0.2295,1.2281,0.4631,0.1802,0.1894,1.5811,1.2706,42.39,1.8479,40.54,38.38,54.65,68.34,False,True,True,True,True,True,False,gu_below_target(68.3<70),rework_candidate,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7303,655.4,True,2
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,3.482,4648,3.489,0.2620,3,-0.382,-0.989,0.1539,0.1373,0.6043,0.1448,0.1125,0.1083,0.9789,0.8110,47.90,1.1736,46.73,44.58,57.19,72.88,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7304,412.8,True,0
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,3.482,4648,3.451,0.2620,3,-0.413,-1.000,0.1441,0.1252,0.6057,0.2064,0.0996,0.1031,0.9358,0.7008,47.58,1.1874,46.39,43.35,60.66,73.32,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7305,417.4,True,0
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,3.465,4648,6.859,0.2620,9,-0.925,-0.012,0.2192,0.1448,0.9291,0.1531,0.1480,0.1099,1.3005,0.9032,42.41,1.7820,40.63,37.25,57.01,69.23,False,True,True,True,True,True,False,gu_below_target(69.2<70),rework_candidate,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7306,629.9,True,2
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,3.455,4648,8.715,0.2620,9,-0.984,+0.526,0.1610,0.1338,0.8562,0.2493,0.1066,0.1083,1.1723,0.8215,40.43,1.3956,39.03,35.73,53.66,68.12,False,True,True,True,True,True,False,gu_below_target(68.1<70),spot_repaint_review,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7307,495.7,True,2
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,3.471,4648,5.603,0.2620,3,-0.973,-0.376,0.1318,0.1135,0.4057,0.1946,0.1012,0.0916,0.8325,0.6400,41.20,0.7246,40.48,39.18,55.42,71.85,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7308,257.1,True,0
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,3.479,4648,4.194,0.2620,3,-0.794,-0.784,0.1786,0.1290,0.7052,0.2589,0.1358,0.0990,1.0768,0.8505,43.35,0.9751,42.37,40.16,59.57,71.55,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7309,343.5,True,0
R3,door_left,7,0.260,0.850,0.775,0.0000,1.0000,0.0000,3.481,4648,3.653,0.2620,6,-0.147,-0.941,0.3124,0.2549,1.7567,0.6976,0.1880,0.1999,2.1217,1.6842,49.36,2.2443,47.12,45.34,59.53,70.50,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7310,788.4,True,1
