region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,3.479,5436,4.197,0.1840,6,+0.169,-0.588,0.2192,0.1746,0.9291,0.0726,0.1480,0.1267,1.3005,1.1248,42.41,3.3297,39.08,35.95,57.01,65.13,False,True,True,True,True,False,gu_below_target(65.1<70),90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7306,1029.3,True,2
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,3.475,5436,4.915,0.1840,2,+0.360,-0.347,0.1610,0.1066,0.8562,0.4552,0.1066,0.0818,1.1723,0.8390,40.43,0.9470,39.48,35.87,53.66,67.70,False,True,True,True,True,False,gu_below_target(67.7<70);clearcoat_budget_exhausted,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7307,293.0,True,0
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,3.475,5436,4.832,0.1840,2,+0.320,-0.375,0.1318,0.0992,0.4057,0.1537,0.1012,0.0769,0.8325,0.5760,41.20,0.9634,40.24,38.97,55.42,71.89,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7308,298.1,True,0
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,3.475,5436,4.944,0.1840,2,+0.368,-0.337,0.1786,0.1076,0.7052,0.2856,0.1358,0.0829,1.0768,0.7358,43.35,0.9416,42.41,40.06,59.57,71.37,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7309,291.3,True,0
R3,door_left,7,0.260,0.850,0.775,0.0000,1.0000,0.0000,3.475,5436,4.846,0.1840,4,+0.417,-0.370,0.3124,0.2088,1.7567,0.8357,0.1880,0.1563,2.1217,1.5779,49.36,1.9214,47.44,45.66,59.53,70.22,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7310,594.4,True,1
R3,door_left,8,0.260,0.850,0.865,0.0000,1.0000,0.0000,3.476,5436,4.713,0.1840,4,+0.332,-0.415,0.3123,0.1970,1.6111,0.6074,0.1867,0.1509,1.9776,1.4034,41.68,1.9761,39.70,35.80,58.20,65.66,False,True,True,True,True,False,gu_below_target(65.7<70);clearcoat_budget_exhausted,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7311,611.1,True,1
R3,door_left,9,0.260,0.850,0.955,0.0000,1.0000,0.0000,3.474,5436,4.994,0.1840,2,+0.408,-0.320,0.1859,0.1279,0.7323,0.4233,0.1308,0.0958,1.2195,0.9302,47.18,0.9320,46.25,43.20,52.89,70.75,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7312,288.4,True,0
R3,door_left,10,0.500,0.850,0.595,0.0000,1.0000,0.0000,3.476,5436,4.787,0.1840,4,+0.386,-0.390,0.2894,0.1825,1.5869,0.6840,0.1818,0.1356,1.9881,1.3566,49.80,1.9451,47.85,44.79,61.98,71.30,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7313,601.6,True,1
R3,door_left,11,0.500,0.850,0.685,0.0000,1.0000,0.0000,3.476,5436,4.703,0.1840,4,+0.361,-0.418,0.2425,0.1511,1.3084,0.3264,0.1604,0.1168,1.5851,1.0723,47.39,1.9791,45.41,44.66,56.08,71.79,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7314,612.4,True,1
R3,door_left,12,0.500,0.850,0.775,0.0000,1.0000,0.0000,3.478,5436,4.227,0.1840,6,+0.198,-0.578,0.2613,0.1812,1.4175,0.2077,0.1523,0.1362,1.8340,1.0803,43.22,3.3068,39.91,38.50,57.72,67.34,False,True,True,True,True,False,gu_below_target(67.3<70),90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7315,1022.1,True,2
