cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
301,top,-0.57437,0.77807,0.63164,-0.44625,-0.05054,0.89348,0.89491,-0.0252,0.44554,0.0,0.9984,0.05647
302,top,-0.56831,0.90132,0.63729,-0.23597,-0.00547,0.97174,0.97176,-0.00133,0.23597,0.0,0.99998,0.00563
303,top,-0.56139,1.02353,0.63371,-0.29286,0.08477,0.95239,0.95615,0.02597,0.29171,0.0,0.99606,-0.08866
304,top,-0.54659,1.13762,0.62607,-0.30415,0.13494,0.94302,0.95263,0.04308,0.30108,-0.0,0.98992,-0.14165
305,top,-0.51639,1.25645,0.61285,-0.26708,0.23791,0.93385,0.96368,0.06593,0.25881,0.0,0.96905,-0.24687
306,top,-0.49691,1.36438,0.54806,-0.19966,0.47225,0.85856,0.97986,0.09623,0.17495,-0.0,0.8762,-0.48195
307,top,-0.4029,-1.37756,0.43893,-0.18418,-0.47625,0.85981,0.98289,-0.08924,0.16111,0.0,0.87477,0.48454
308,top,-0.41871,-1.25926,0.55253,-0.18731,-0.37222,0.90905,0.9823,-0.07098,0.17334,-0.0,0.92543,0.37892
309,top,-0.41992,-1.14512,0.59713,-0.19337,-0.29945,0.93431,0.98113,-0.05902,0.18415,0.0,0.95228,0.30521
310,top,-0.42152,-1.02075,0.62203,-0.20676,-0.14773,0.96717,0.97839,-0.03122,0.20439,-0.0,0.98853,0.15099
311,top,-0.42305,-0.90086,0.63973,-0.20525,-0.13345,0.96957,0.97871,-0.02799,0.20334,0.0,0.99066,0.13635
312,top,-0.42017,-0.7792,0.6548,-0.1982,-0.10897,0.97409,0.98016,-0.02203,0.19697,0.0,0.9938,0.11117
313,top,-0.42324,-0.66071,0.66596,-0.20452,-0.05503,0.97731,0.97886,-0.0115,0.2042,0.0,0.99842,0.05622
314,top,-0.42506,-0.53911,0.66607,-0.1777,0.01852,0.98391,0.98409,0.00334,0.17766,-0.0,0.99982,-0.01882
315,top,-0.4191,-0.42304,0.66272,-0.10125,0.04594,0.9938,0.99486,0.00468,0.10115,0.0,0.99893,-0.04617
316,top,-0.41317,0.1997,0.89359,-0.39793,-0.18884,0.89777,0.91742,-0.08191,0.38941,0.0,0.97859,0.20584
317,top,-0.41093,0.29636,0.90683,-0.42497,-0.06713,0.90272,0.90521,-0.03151,0.4238,0.0,0.99725,0.07416
318,top,-0.40453,0.42311,0.91454,-0.4126,0.01018,0.91085,0.91091,0.00461,0.41258,0.0,0.99994,-0.01117
319,top,-0.40074,0.54172,0.91182,-0.41739,0.06606,0.90632,0.90873,0.03034,0.41629,0.0,0.99735,-0.0727
320,top,-0.41216,0.66316,0.88837,-0.49553,0.1532,0.85497,0.86859,0.0874,0.48776,0.0,0.98432,-0.17638
321,top,-0.4241,0.77688,0.857,-0.52582,0.2197,0.82174,0.8506,0.13581,0.50797,0.0,0.96607,-0.25829
322,top,-0.43656,0.90468,0.80744,-0.556,0.29614,0.77664,0.83118,0.1981,0.51951,0.0,0.93438,-0.35629
