cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
74,rear,0.298,-1.440,0.420,78.3,True,-4.1331,+0.9702,12.77,success,1,66.30,70.92,0.1299,0.911,0.434,0.045,41.53,39.09,35.66,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
75,rear,0.297,-1.423,0.493,54.7,True,+0.5667,-4.9363,12.65,fail_force_overload,0,67.88,73.17,0.1511,0.968,0.354,0.193,45.61,44.19,34.86,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
76,rear,0.422,-1.372,0.157,97.2,True,-0.4928,-14.5118,8.47,fail_force_overload,0,64.80,64.81,0.1221,1.034,0.487,0.487,46.47,44.91,24.73,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
77,rear,0.421,-1.405,0.314,101.7,True,-0.9798,-3.1041,6.69,success,1,57.86,71.81,0.1218,0.828,0.184,0.021,46.29,42.09,35.93,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
78,rear,0.423,-1.416,0.375,82.8,True,-0.5876,-7.3601,7.06,fail_force_overload,0,64.46,72.08,0.1553,1.003,0.416,0.284,46.93,45.74,34.79,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
79,rear,0.517,-1.322,0.178,90.7,True,-2.5878,-4.5102,11.65,fail_force_overload,0,63.37,71.75,0.0975,0.852,0.447,0.215,43.34,39.76,35.84,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
80,side_left,0.006,-1.475,0.413,89.5,True,-3.4634,+6.0154,34.23,fail_force_overload,0,70.14,70.15,0.1106,0.752,0.221,0.221,40.72,38.12,23.58,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
81,side_left,-0.504,-1.352,0.314,97.0,True,-1.5689,-1.5943,4.81,fail_clearcoat_budget,1,61.74,67.39,0.1186,0.764,0.155,0.022,40.04,35.80,35.90,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
82,side_left,-0.378,-1.373,0.392,85.1,True,-1.1476,-7.1625,49.22,fail_force_overload,0,65.40,65.40,0.1167,0.916,0.212,0.212,43.69,43.64,25.91,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
83,side_left,-0.564,-1.255,0.181,96.3,True,-2.1956,-0.7737,5.00,fail_clearcoat_budget,1,73.90,68.30,0.1160,0.779,0.200,0.025,41.21,35.33,35.73,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
84,side_left,-0.571,-1.261,0.305,94.9,True,-1.3875,-0.3133,3.48,success,1,67.31,71.42,0.1239,0.858,0.901,0.311,43.60,39.38,35.81,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
85,side_left,-0.572,-1.260,0.390,75.9,True,-1.4884,-3.1326,4.11,success,1,65.92,71.43,0.1229,0.777,0.174,0.040,43.02,40.49,35.92,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
86,side_left,-0.534,-1.227,0.523,56.6,True,+0.2030,-4.9828,3.37,fail_force_overload,0,72.19,71.44,0.1436,0.940,0.235,0.136,40.06,37.63,34.72,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
87,side_left,-0.585,-1.183,0.181,100.3,True,-4.8556,+0.1080,2.50,success,1,67.04,73.48,0.1051,0.655,0.430,0.069,48.84,46.38,35.48,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
88,side_left,-0.606,-1.176,0.305,98.1,True,-3.8843,-0.5463,2.78,success,1,64.93,73.09,0.1222,0.767,0.360,0.066,49.72,45.46,35.69,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
89,side_left,-0.616,-1.147,0.424,82.5,True,-2.1057,-2.4348,4.12,fail_force_overload,0,68.59,72.56,0.1471,0.879,0.407,0.193,44.20,39.55,35.08,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
90,side_left,-0.580,-1.136,0.526,58.0,True,-0.4330,-1.8619,3.51,success,1,68.01,72.11,0.1178,0.748,0.709,0.177,46.10,41.89,35.90,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
91,side_left,-0.629,-1.032,0.522,68.6,True,-0.9575,-3.9970,4.59,fail_force_overload,0,71.55,70.23,0.0925,0.669,0.155,0.052,41.37,37.60,36.03,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
92,side_left,-0.634,-0.892,0.555,66.1,True,-0.8543,-4.4358,4.73,fail_force_overload,0,69.58,69.24,0.1520,0.873,0.173,0.132,42.50,38.17,34.79,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
93,side_left,-0.636,-0.777,0.545,71.4,True,+0.0557,-1.7389,3.25,success,1,58.70,71.99,0.1309,1.016,0.845,0.259,49.13,43.66,35.88,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
94,side_left,-0.660,-0.615,0.309,87.0,True,-0.4702,-0.1391,0.67,success,1,68.50,72.93,0.1130,0.880,0.310,0.028,47.46,41.99,35.83,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
95,side_left,-0.652,-0.646,0.429,85.2,True,+0.1294,-0.4182,0.93,success,1,63.93,72.96,0.1307,0.934,0.229,0.050,48.71,43.41,35.88,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
96,side_left,-0.633,-0.662,0.539,75.5,True,+0.4472,-0.6785,1.58,fail_quality_regression,2,62.76,61.38,0.1553,1.206,0.444,0.032,40.80,36.25,35.94,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt
97,side_left,-0.615,-0.657,0.607,63.7,True,+0.1412,-7.5684,6.48,fail_force_overload,0,63.10,69.07,0.0983,0.678,0.414,0.205,46.98,42.34,36.16,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
98,side_left,-0.663,-0.539,0.185,88.7,True,-0.0847,-0.1499,0.66,success,1,69.99,72.87,0.1176,0.777,0.281,0.038,46.62,41.47,35.86,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
99,side_left,-0.657,-0.539,0.300,86.8,True,-0.0149,+0.1192,1.05,success,1,63.28,73.29,0.1168,0.849,0.266,0.035,49.72,44.20,35.85,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
100,side_left,-0.651,-0.538,0.419,85.0,True,+0.0881,-0.5318,1.15,success,1,72.95,71.21,0.1087,0.713,0.265,0.026,42.77,38.46,35.86,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
101,side_left,-0.635,-0.540,0.538,79.5,True,+0.0530,-0.9164,1.71,success,1,53.38,71.11,0.1287,0.796,0.356,0.036,45.09,40.67,35.87,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
102,side_left,-0.620,-0.538,0.606,66.0,True,+0.1123,-7.3734,6.03,fail_force_overload,0,66.26,68.98,0.1008,0.759,0.219,0.096,43.42,39.59,36.07,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
103,side_left,-0.662,-0.419,0.185,88.0,True,+0.0934,+0.0695,0.69,success,1,73.24,72.99,0.1331,0.850,0.227,0.022,47.53,42.44,35.88,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
104,side_left,-0.655,-0.420,0.300,86.0,True,+0.3769,+0.3787,1.35,success,1,74.87,73.18,0.1275,0.836,0.065,0.015,48.44,43.18,35.86,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
105,side_left,-0.651,-0.426,0.412,87.7,True,+0.3054,-0.1664,1.36,fail_clearcoat_budget,1,60.17,66.92,0.1061,0.677,0.334,0.037,40.18,35.96,35.89,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
106,side_left,-0.640,-0.420,0.537,80.0,True,-0.1854,-1.1131,2.23,success,1,60.41,72.02,0.1317,0.992,0.981,0.404,47.55,42.90,35.88,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
107,side_left,-0.624,-0.422,0.608,62.0,True,-0.0033,-6.8785,5.19,fail_force_overload,0,68.30,73.89,0.1573,1.051,0.438,0.255,49.88,46.44,35.26,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
108,side_left,-0.663,-0.300,0.186,89.6,True,+0.0206,-0.2850,0.50,success,1,68.89,73.28,0.1128,0.857,0.536,0.149,49.48,45.29,35.85,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
109,side_left,-0.659,-0.302,0.300,87.3,True,-0.1907,+0.0546,0.66,fail_clearcoat_budget,1,66.92,68.49,0.1170,0.798,0.445,0.062,41.10,36.34,35.83,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt
